resposta_gerada,resposta_referencia,precision,recall,f1
"Os formulários mencionados como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST são:

- **USOST-027 – Permissão de Trabalho de Risco (PTR)**: utilizado para autorizar atividades não rotineiras ou de alto risco, com validade de 1 dia (ou até 5 dias na modalidade temporária), exigindo análise de riscos, medidas de controle e envolvendo responsáveis pela área e execução.
- **USOST-028 – Inspeção de trabalho em altura**: utilizado para emissão de permissão em trabalhos em altura não rotineiros, complementando a PTR e a APR.
- **USOST-029 – Autorização para trabalho a quente**: utilizado para atividades que envolvam fontes de ignição (como solda ou chama) em áreas com risco de incêndio ou explosão, emitido juntamente com a PTR.
- **USOST-030 – Permissão de Entrada e Trabalho em Espaços Confinados (PET)**: utilizado para atividades em espaços confinados, complementando a PTR, com monitoramento ambiental e controle de acesso.
- **USOST-031 – CHECK-LIST DE INSPEÇÃO**: utilizado para inspeções mensais de Ordem, Limpeza e Arrumação (OLA) nos ambientes do hospital.
- **USOST-033 – Ficha de escuta qualificada**: utilizado no acolhimento em saúde mental para formalizar a presença do colaborador durante atendimento.
- **USOST-036 – Termo de Autorização Colaborador / Avaliação de Sofrimento Mental**: utilizado para autorizar compartilhamento de informações na saúde mental ou para aplicação do teste SRQ-20 na avaliação de sofrimento mental.
- **USOST-038 – Controle de acesso em espaço confinado**: utilizado para registrar a entrada e saída de trabalhadores em espaços confinados.
- **USOST-039 – Etiqueta bloqueio de energias perigosas**: utilizado para bloquear fontes de energia perigosas (elétrica, mecânica, hidráulica, etc.) durante trabalhos, emitido juntamente com a PTR.","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",0.6593380570411682,0.8221663236618042,0.7318041324615479
"Estágio Optativo é definido como uma atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",0.9576846957206726,0.9475361704826355,0.9525834321975708
"Para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, a documentação necessária difere conforme a instituição de origem do acadêmico.

Para **acadêmicos da UFPEL**:
- Plano de Ensino preenchido e assinado em conjunto com o supervisor do estágio;
- Declaração de seguro fornecida pelo colegiado da Faculdade de Medicina (FAMED).

Para **acadêmicos de outras instituições**:
- Termo de Compromisso de Estágio (3 vias), assinado pelo acadêmico e pela instituição de ensino;
- Plano de Ensino preenchido e assinado em conjunto com o professor coordenador de estágios (utilizando o modelo da GEP caso a instituição não tenha modelo próprio);
- Carta de apresentação fornecida pela Instituição de Ensino, mencionando nome do estudante, situação atual de matrícula, nome da disciplina de estágio obrigatório e carga horária total;
- Cópia de apólice de seguro contra acidentes pessoais ou declaração da Instituição de Ensino atestando que o estudante está assegurado (com nome da seguradora, número da apólice e prazo de vigência);
- Cópia de comprovante vacinal (carteirinha de vacinação) com as doses de Hepatite B e Dupla Adulto (Tétano, Difteria) em dia.

Além disso, após o recebimento da documentação, é solicitado que o estudante efetue o cadastro online para emissão de crachá de identificação, se ainda não possuir.","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",0.5259953141212463,0.6650500297546387,0.5874053835868835
Os materiais necessários são: Computador com Internet e acesso ao Sistema ADS Ensino (site do HE UFPEL).,"Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",0.849841833114624,0.9204577803611755,0.8837413787841797
"Os materiais necessários são: computador com internet, acesso ao Sistema ADS Ensino (site do HE UFPEL), impressora Ink Jet ou Laser colorida, papel A4, plástico Polaseal para plastificação do crachá, pen drive para salvar o arquivo PDF do crachá e plastificadora (Poliseladora).","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",0.8402899503707886,0.9006093740463257,0.869404673576355
"De acordo com a Resolução CNS nº 466/2012, item II.21, o termo ""ressarcimento"" é definido como compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação.","“compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”",0.76462322473526,0.9150000810623169,0.833079993724823
"Na rotina de monitorias remotas, são utilizados três formulários: o **Formulário CPC – 003 Anuência para Monitoria Remota**, que documenta a autorização da chefia para realizar a monitoria remota e cobre as atividades subsequentes; o **Formulário CPC – 004 Ciência para Monitoria Remota**, que registra o conhecimento e a concordância dos investigadores e sub-investigadores quanto à execução da monitoria remota; e o **Formulário CPC – 005 Acordo de Confidencialidade**, que formaliza o compromisso do monitor em utilizar os documentos-fonte de forma adequada, destruí-los após a verificação e não copiá-los ou gravá-los.",Formulário CPC – 003 Anuência para Monitoria Remota; Formulário CPC – 004 Ciência para Monitoria Remota; Formulário CPC – 003 Acordo de confidencialidade: Monitoria Remota por vídeo ou webconferência,0.6775165796279907,0.8258832693099976,0.7443789839744568
"Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC.","Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC. As demandas de capacitações extemporâneas, deverão ser justificadas e encaminhadas à UDP. Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente. Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente. Emitir despacho, detalhando os papéis e perfis esperados para a execução da ação de capacitação, conforme o art. 3º da Portaria-SEI nº 2931/2022/DGP-EBSERH.",0.8830260038375854,0.6930557489395142,0.776591956615448
"O colaborador apto para a instrutoria interna tem o prazo de 7 dias, após o recebimento do despacho de indicação pela UDP, para manifestar confirmação ou indisponibilidade. Deve preencher e assinar o Termo de Ciência da Atividade de Instrutoria Interna_SEI, juntamente com a chefia imediata, ou emitir despacho informando a indisponibilidade para atuação na ação de capacitação.","Após o recebimento do despacho de indicação, por parte da UDP, o colaborador apto para a instrutoria interna terá o prazo de 7 dias, para manifestar confirmação ou indisponibilidade, preenchimento do Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele), ou despacho informando a indisponibilidade para atuação na ação de capacitação.",0.8781243562698364,0.8746209144592285,0.8763691186904907
"Os documentos normativos citados são: POP.DGP.029 - Avaliação de necessidades de treinamento, desenvolvimento e educação (2024); Norma - SEI nº 5/2022/DGP-EBSERH, que dispõe sobre as ações de capacitação; e Portaria-SEI nº 2931/2022/DGP-EBSERH, que regulamenta a instrutoria interna.",Norma - SEI nº 5/2022/DGP-EBSERH; Portaria- SEI nº 2931/2022/DGP-EBSERH.,0.7249540686607361,0.8963484764099121,0.8015918135643005
"Quando a escala de trabalho é recebida após o dia 15 do mês antecedente à escala de referência, o NAA deve incluí-la no bloco interno do SEI em pasta previamente criada do mês correspondente, nomeando com a informação da unidade e ""Fora do Prazo"". Em seguida, deve baixar a escala em formato PDF, arquivá-la no caminho Computador>NAA>Escalas Mensais>Ano Correspondente>Pasta da Unidade Correspondente, com o nome no padrão ""Nome da unidade_Profissional_Mês_Ano"". Por fim, o processo contendo a escala recebida é devolvido ao gestor com despacho utilizando o texto padrão ""Entrega de Escala Fora do Prazo"".","Quando a escala de trabalho for recebida pela DIVGP após o dia 15 do mês antecedente à escala de referência, incluido pelo NAA no bloco interno do SEI em pasta previamente criada com o mês correspondente, nomeando-o através do ícone anotações com a informação da unidade correspondente e informando “Fora do Prazo”.",0.7210704684257507,0.819021999835968,0.7669313549995422
"Quando são identificadas inconsistências nas escalas de trabalho pelo Núcleo de Apoio Assistencial (NAA), a escala é devolvida ao gestor (chefia) para correção, com prazo de 96 horas para retorno da Divisão de Enfermagem e 72 horas para as demais unidades. A ação da chefia, em caso de divergência entre os horários cadastrados no sistema e os descritos na escala, é solicitar a alteração através do Formulário de Alteração de Horário Individual, disponível no SEI, encaminhando-o à Unidade de Administração de Pessoal (UAP), com informações detalhadas do empregado. Os departamentos envolvidos no processo são o NAA (que recebe e verifica as escalas), a chefia/gestor (que realiza as correções) e a UAP (que processa as alterações). As escalas são enviadas em formato PDF via processo SEI à Divisão de Gestão de Pessoas (DIVGP).","As alterações a serem realizadas nos Horários Individuais dos empregados devem ser solicitadas pelo gestor através de Formulário de Alteração de Horário Individual, constante no SEI, e encaminhado para a Unidade de Administração de Pessoal - UAP (UAP/DIVGP/GA/HE-UFPEL), com as informações detalhadas de cada empregado constando nome completo do empregado, SIAPE, horários que o empregado deverá realizar cada dia da semana e data de início da nova jornada de trabalho.",0.7242198586463928,0.7645933628082275,0.7438592314720154
"Após a criação das pastas anuais e mensais, para inserir as escalas de trabalho, deve-se acessar a pasta correspondente, clicar em ""conteúdo"", selecionar ""adicionar arquivos"", iniciar o upload dos documentos e finalizar clicando em F5.","para inserir as escalas nas pastas, deverá clicar em conteúdo e adicionar arquivos>iniciar upload; após inserido o documento finalizar clicando em F5.",0.783153772354126,0.8352089524269104,0.8083441853523254
