resposta_gerada,resposta_referencia,precision,recall,f1
"No site do HE, na seção Sistemas -> ADS Hospitalar -> Documentos -> USOST, estão disponíveis os seguintes formulários, com suas finalidades:

1. **USOST-029 - Autorização para trabalho a quente**: Utilizado em atividades que envolvem fontes de ignição (aquecimento, centelha ou chama) em áreas com presença potencial de material inflamável ou combustível, para evitar incêndios e explosões.

2. **USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET**: Necessário para atividades em espaços confinados, garantindo que a atmosfera interna seja segura, o monitoramento contínuo das condições de oxigênio, explosividade e toxidez, além de assegurar procedimentos de emergência e resgate.

3. **USOST-039 Etiqueta bloqueio de energias perigosas**: Utilizado para garantir que equipamentos não sejam acionados acidentalmente durante manutenção, limpeza ou outras intervenções, envolvendo o bloqueio de energias elétrica, mecânica, hidráulica, pneumática, química e térmica.

Estes formulários são emitidos junto com a Permissão de Trabalho de Risco (PTR) e seus anexos, conforme as necessidades específicas de cada atividade.","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",0.6453602910041809,0.8079569339752197,0.7175630331039429
"Estágio Optativo é uma atividade curricular obrigatória para acadêmicos de Medicina ou residentes, porém em área eletiva, ou seja, escolhida pelo próprio estudante.","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",0.8845717310905457,0.9215657711029053,0.9026898741722107
"Os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL incluem:
- Formulário de Solicitação de Estágio Optativo
- Plano de Ensino, preenchido e assinado em conjunto com o supervisor do estágio
- Declaração de seguro fornecida pelo colegiado da Faculdade de Medicina (FAMED), para acadêmicos da UFPEL
- Termo de Compromisso de Estágio (3 vias), assinado pelo acadêmico e pela instituição de ensino, para estudantes de outras instituições
- Carta de apresentação fornecida pela Instituição de Ensino, mencionando nome do estudante, situação atual de matrícula, nome da disciplina de estágio e carga horária total
- Cópia de apólice de seguro contra acidentes pessoais, ou declaração da Instituição de Ensino atestando que o estudante está assegurado
- Cópia de comprovante vacinal com as doses de Hepatite B e Dupla Adulto em dia","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",0.5500701665878296,0.6592464447021484,0.5997301340103149
"Para o preenchimento do Sistema ADS Ensino e cadastro de estágios curriculares obrigatórios, os materiais necessários são:

- Computador com Internet;
- Sistema ADS Ensino (acesso via site do HE UFPEL);
- Formulário ""Solicitação para Realizar Projeto de Ensino/Extensão no Hospital Escola e Outras Unidades"";
- Documentos para formalização do estágio (Termo de Compromisso de Estágio, Carta de apresentação, cópia da apólice de seguro contra acidentes pessoais ou declaração da Instituição de Ensino, e cópia de comprovante vacinal);
- Impressora colorida;
- Papel A4;
- Plástico Polaseal para plastificação do crachá.

As etapas incluem o preenchimento e conferência do cadastro de estudante, o cadastro da ""Vaga Curricular"" e da ""Atividade Curricular"", a emissão e impressão dos crachás de identificação que devem ser recortados e plastificados, e a entrega dos crachás na portaria de entrada dos funcionários ou no Setor de Ensino.","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",0.589368462562561,0.8252445459365845,0.6876412034034729
"Para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação, os materiais necessários são:

- Computador com Internet
- Sistema ADS Ensino (site do HE UFPEL)
- Impressora Ink Jet ou Laser colorida
- Papel A4
- Plástico Polaseal para plastificação do crachá

Além disso, no processo de cadastro e emissão de crachás, é necessário utilizar e-mails para comunicação, bem como salvar os arquivos gerados em formato PDF em um PEN DRIVE para impressão.","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",0.7440683841705322,0.8753277063369751,0.8043784499168396
"A Resolução CNS n° 466/2012, item II.21, define ressarcimento como a ""compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação"". O TCLE deve explicitar a garantia de ressarcimento das despesas incorridas pelo participante da pesquisa e decorrentes dela, sem qualquer custo para o participante.","“compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”",0.7392377853393555,0.8930444121360779,0.8088946342468262
"Formulário CPC – 003 Anuência para Monitoria Remota: Documenta a anuência da Chefia do Setor de Pesquisa e Inovações Tecnológicas em Saúde para a realização de monitorias remotas, sendo arquivado nos documentos do CPC.

Formulário CPC – 004 Ciência para Monitoria Remota: Deve ser preenchido pelos investigadores e sub-investigadores para documentar sua ciência e respaldar a execução das monitorias remotas.

Formulário CPC – 005 Acordo de Confidencialidade: Encaminhado pelo monitor 24 horas antes da monitoria remota, compromete o monitor a utilizar a documentação-fonte de forma adequada, destruir cópias após a verificação e não fazer gravações ou cópias dos documentos-fonte.

Relatório da Monitoria: No final de cada monitoria remota, o monitor deve especificar o método utilizado, os documentos verificados e confirmar o uso adequado e a inexistência de arquivos ou gravações dos documentos-fonte.",Formulário CPC – 003 Anuência para Monitoria Remota; Formulário CPC – 004 Ciência para Monitoria Remota; Formulário CPC – 003 Acordo de confidencialidade: Monitoria Remota por vídeo ou webconferência,0.653838038444519,0.849265992641449,0.7388476729393005
"A responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna é:

Elaborar o projeto básico de capacitação conforme a capacitação validada no Plano de Desenvolvimento de Competências (PDC). As demandas de capacitações extemporâneas devem ser justificadas e encaminhadas à Unidade de Desenvolvimento de Pessoas (UDP). Preencher o Formulário SEI_Projeto Básico de Capacitação de acordo com as orientações do PDC vigente, assinar o projeto básico e providenciar as assinaturas necessárias, incluindo assistente, chefia da área demandante e demais responsáveis conforme definido no PDC. Emitir despacho detalhando os papéis e perfis para a execução da capacitação, conforme o art. 3o da Portaria-SEI no 2931/2022/DGP-EBSERH, incluindo nome, cargo e justificativa da qualificação do colaborador indicado. Enviar o projeto via sistema SEI com 60 dias de antecedência à realização da ação para a unidade UDP e aguardar a elaboração da nota técnica de aprovação ou despacho preliminar.","Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC. As demandas de capacitações extemporâneas, deverão ser justificadas e encaminhadas à UDP. Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente. Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente. Emitir despacho, detalhando os papéis e perfis esperados para a execução da ação de capacitação, conforme o art. 3º da Portaria-SEI nº 2931/2022/DGP-EBSERH.",0.7994475364685059,0.8687785863876343,0.8326723575592041
"O colaborador apto para a instrutoria interna tem um prazo de 7 dias após o recebimento do despacho de indicação pela Unidade de Desenvolvimento de Pessoas (UDP) para manifestar confirmação ou indisponibilidade. Durante esse período, ele deve preencher o Termo de Ciência da Atividade de Instrutoria Interna no Sistema Eletrônico de Informações (SEI), com a assinatura do instrutor e de sua chefia imediata, ou enviar um despacho informando a indisponibilidade para atuar na ação de capacitação.","Após o recebimento do despacho de indicação, por parte da UDP, o colaborador apto para a instrutoria interna terá o prazo de 7 dias, para manifestar confirmação ou indisponibilidade, preenchimento do Termo de Ciência da Atividade de Instrutoria Interna_SEI (com a assinatura do instrutor e chefia imediata dele), ou despacho informando a indisponibilidade para atuação na ação de capacitação.",0.8377846479415894,0.8744845390319824,0.8557412624359131
"Os documentos normativos citados que regem as ações de capacitação e a instrutoria interna na Empresa Brasileira de Serviços Hospitalares (EBSERH) são:

1. Portaria- SEI no 2931/2022/DGP-EBSERH, que regulamenta a instrutoria interna no âmbito da Rede Ebserh.
2. Norma - SEI no 5/2022/DGP-EBSERH, que dispõe sobre as ações de capacitação no âmbito da EBSERH.

Estes documentos fornecem diretrizes sobre a definição dos papéis nas ações de capacitação e regulamentam a instrutoria interna, incluindo a elaboração de projetos básicos de capacitação e a designação de responsáveis pela execução das ações de instrutoria.",Norma - SEI nº 5/2022/DGP-EBSERH; Portaria- SEI nº 2931/2022/DGP-EBSERH.,0.6150611042976379,0.8083683252334595,0.6985887885093689
